	Mycoplasma_agalactiae	Mycoplasma_gallisepticum	Mycoplasma_genitalium	Mycoplasma_hyopneumoniae
Mycoplasma_agalactiae	0.0	383.0	319.0	422.0
Mycoplasma_gallisepticum	381.0	0.0	405.0	365.0
Mycoplasma_genitalium	312.0	400.0	0.0	304.0
Mycoplasma_hyopneumoniae	404.0	365.0	295.0	0.0
